date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:16:50	13487/13487	---M--	200	added ('OK')	image/webp	etag:%228c0a61beceff4283b0964eb90aa46a7f%22	https://cdn.awsli.com.br/300x300/2545/2545673/produto/196945852/rennaker-c3a23ca03c.jpg	D:/Sunflower/Site/Clone-Site/RennakerLojaIntegrada/cdn.awsli.com.br/300x300/2545/2545673/produto/196945852/rennaker-c3a23ca03c.jpg	(from https://rennaker.lojaintegrada.com.br/)
11:16:50	47762/47762	---M-Z	200	added ('OK')	text/html	date:Fri,%2027%20Jan%202023%2014:16:50%20GMT	https://rennaker.lojaintegrada.com.br/pagina/garantia-rennaker.html	D:/Sunflower/Site/Clone-Site/RennakerLojaIntegrada/rennaker.lojaintegrada.com.br/pagina/garantia-rennaker.html	(from https://rennaker.lojaintegrada.com.br/)
11:16:51	43904/43904	---M-Z	200	added ('OK')	text/html	date:Fri,%2027%20Jan%202023%2014:16:51%20GMT	https://rennaker.lojaintegrada.com.br/pagina/politica-de-privacidade.html	D:/Sunflower/Site/Clone-Site/RennakerLojaIntegrada/rennaker.lojaintegrada.com.br/pagina/politica-de-privacidade.html	(from https://rennaker.lojaintegrada.com.br/)
11:16:51	41689/41689	---M-Z	200	added ('OK')	text/html	date:Fri,%2027%20Jan%202023%2014:16:51%20GMT	https://rennaker.lojaintegrada.com.br/pagina/quem-somos.html	D:/Sunflower/Site/Clone-Site/RennakerLojaIntegrada/rennaker.lojaintegrada.com.br/pagina/quem-somos.html	(from https://rennaker.lojaintegrada.com.br/)
11:16:51	46345/46345	---M-Z	200	added ('OK')	text/html	date:Fri,%2027%20Jan%202023%2014:16:52%20GMT	https://rennaker.lojaintegrada.com.br/pagina/termos-e-condicoes.html	D:/Sunflower/Site/Clone-Site/RennakerLojaIntegrada/rennaker.lojaintegrada.com.br/pagina/termos-e-condicoes.html	(from https://rennaker.lojaintegrada.com.br/)
11:16:52	1948/1948	---M--	200	added ('OK')	image/png	etag:%22bc4d139dff57619c8cb52d1d660f2f60%22	https://cdn.awsli.com.br/production/static/img/formas-de-pagamento/boleto-logo.png?v=b683f5a	D:/Sunflower/Site/Clone-Site/RennakerLojaIntegrada/cdn.awsli.com.br/production/static/img/formas-de-pagamento/boleto-logo4545.png	(from https://rennaker.lojaintegrada.com.br/)
11:16:52	5034/5034	---M--	200	added ('OK')	image/png	etag:%224b211b173ace07058a99284d69599ed6%22	https://cdn.awsli.com.br/production/static/img/struct/stamp_encryptssl.png	D:/Sunflower/Site/Clone-Site/RennakerLojaIntegrada/cdn.awsli.com.br/production/static/img/struct/stamp_encryptssl.png	(from https://rennaker.lojaintegrada.com.br/)
11:16:52	2544/2544	---M--	200	added ('OK')	image/png	etag:%2243523ec0a326c94c4f08d3d497547688%22	https://cdn.awsli.com.br/production/static/whitelabel/lojaintegrada/img/logo-rodape-loja.png?v=b683f5a	D:/Sunflower/Site/Clone-Site/RennakerLojaIntegrada/cdn.awsli.com.br/production/static/whitelabel/lojaintegrada/img/logo-rodape-loja4545.png	(from https://rennaker.lojaintegrada.com.br/)
11:16:53	0/0	---M-Z	302	error ('Moved%20Temporarily')	text/html	date:Fri,%2027%20Jan%202023%2014:16:53%20GMT	https://rennaker.lojaintegrada.com.br/conta/favorito/listar	D:/Sunflower/Site/Clone-Site/RennakerLojaIntegrada/rennaker.lojaintegrada.com.br/conta/favorito/listar	(from https://rennaker.lojaintegrada.com.br/)
11:16:53	0/0	---M-Z	302	error ('Moved%20Temporarily')	text/html	date:Fri,%2027%20Jan%202023%2014:16:54%20GMT	https://rennaker.lojaintegrada.com.br/conta/favorito/listar	D:/Sunflower/Site/Clone-Site/RennakerLojaIntegrada/rennaker.lojaintegrada.com.br/conta/favorito/listar	(from https://rennaker.lojaintegrada.com.br/)
